Linux 3.11.0-17-generic (axle) 	11/12/14 	_x86_64_	(64 CPU)

18:33:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:34:19        all      1.58      0.00      1.50      0.04      0.00     96.88
18:35:19        all      4.70      0.00      1.22      1.26      0.00     92.83
18:36:19        all      8.16      0.00      1.15      1.10      0.00     89.59
18:37:19        all      5.59      0.00      0.90      0.65      0.00     92.86
18:38:19        all      6.83      0.00      0.92      0.47      0.00     91.77
18:39:19        all      5.61      0.00      0.74      0.47      0.00     93.18
18:40:19        all      4.34      0.00      0.78      1.12      0.00     93.77
18:41:19        all      3.98      0.00      0.47      0.36      0.00     95.20
18:42:19        all      4.09      0.00      0.45      0.23      0.00     95.23
18:43:19        all      4.04      0.00      0.50      0.26      0.00     95.20
18:44:19        all      3.60      0.00      0.94      0.23      0.00     95.23
18:45:19        all      3.55      0.00      0.68      1.07      0.00     94.70
18:46:19        all      3.62      0.00      0.45      0.17      0.00     95.76
18:47:19        all      2.87      0.00      0.29      0.09      0.00     96.75
18:48:19        all      2.84      0.00      0.55      0.25      0.00     96.35
18:49:19        all      3.33      0.00      0.47      0.10      0.00     96.10
18:50:19        all      2.83      0.00      0.33      0.08      0.00     96.76
18:51:19        all      2.86      0.00      0.31      0.08      0.00     96.75
18:52:19        all      1.71      0.00      0.43      0.24      0.00     97.62
18:53:19        all      1.37      0.00      0.24      0.06      0.00     98.32
18:54:19        all      1.37      0.00      0.26      0.05      0.00     98.32
18:55:19        all      1.37      0.00      0.24      0.07      0.00     98.32
18:56:19        all      1.40      0.00      0.23      0.05      0.00     98.32
18:57:19        all      1.36      0.00      0.25      0.08      0.00     98.30
18:58:19        all      1.37      0.00      0.24      0.08      0.00     98.30
18:59:19        all      1.36      0.00      0.24      0.05      0.00     98.35
19:00:19        all      1.36      0.00      0.25      0.09      0.00     98.30
19:01:19        all      1.35      0.00      0.24      0.10      0.00     98.30
19:02:19        all      1.37      0.00      0.25      0.05      0.00     98.34
19:03:19        all      1.37      0.00      0.24      0.08      0.00     98.31
19:04:19        all      1.36      0.00      0.24      0.08      0.00     98.32
19:05:19        all      1.36      0.00      0.25      0.07      0.00     98.32
19:06:19        all      1.38      0.00      0.25      0.06      0.00     98.32
19:07:19        all      1.37      0.00      0.27      0.05      0.00     98.31
19:08:19        all      1.36      0.00      0.27      0.10      0.00     98.27
19:09:19        all      1.38      0.00      0.28      0.06      0.00     98.28
19:10:19        all      1.37      0.00      0.29      0.09      0.00     98.25
19:11:19        all      1.35      0.00      0.29      0.08      0.00     98.27
19:12:19        all      1.38      0.00      0.28      0.05      0.00     98.29
19:13:19        all      1.38      0.00      0.26      0.07      0.00     98.30
19:14:19        all      1.39      0.00      0.23      0.08      0.00     98.30
19:15:19        all      1.37      0.00      0.25      0.09      0.00     98.29
19:16:19        all      1.40      0.00      0.24      0.05      0.00     98.31
19:17:19        all      1.38      0.00      0.26      0.07      0.00     98.29
19:18:19        all      1.38      0.00      0.26      0.08      0.00     98.28
19:19:19        all      1.39      0.00      0.26      0.04      0.00     98.31
19:20:19        all      1.37      0.00      0.25      0.09      0.00     98.29
19:21:19        all      1.38      0.00      0.27      0.07      0.00     98.28
19:22:19        all      1.37      0.00      0.27      0.08      0.00     98.28
19:23:19        all      1.40      0.00      0.24      0.03      0.00     98.33
19:24:19        all      1.34      0.00      0.28      0.09      0.00     98.30
19:25:19        all      0.78      0.00      0.81      0.42      0.00     97.99
19:26:19        all      0.80      0.00      0.89      0.66      0.00     97.65
19:27:19        all      1.10      0.00      0.59      0.62      0.00     97.69
19:28:19        all      1.47      0.00      0.11      0.00      0.00     98.41
19:29:19        all      1.47      0.00      0.13      0.00      0.00     98.41
19:30:19        all      1.46      0.00      0.13      0.00      0.00     98.41
19:31:19        all      1.45      0.00      0.15      0.00      0.00     98.40
19:32:19        all      1.47      0.00      0.13      0.00      0.00     98.40
19:33:19        all      1.46      0.00      0.14      0.00      0.00     98.40
19:34:19        all      1.45      0.00      0.14      0.00      0.00     98.40
19:35:19        all      1.46      0.00      0.13      0.00      0.00     98.40
19:36:19        all      1.46      0.00      0.15      0.00      0.00     98.39
19:37:19        all      1.46      0.00      0.13      0.01      0.00     98.40
19:38:19        all      1.45      0.00      0.13      0.01      0.00     98.40
19:39:19        all      1.45      0.00      0.14      0.01      0.00     98.40
19:40:19        all      1.51      0.00      0.08      0.01      0.00     98.40
19:41:19        all      1.21      0.00      0.43      0.08      0.00     98.28
19:42:19        all      4.60      0.00      1.60      0.19      0.00     93.62
19:43:19        all      9.80      0.00      1.20      0.04      0.00     88.95
19:44:19        all      9.89      0.00      1.11      0.07      0.00     88.93
19:45:19        all      8.85      0.00      1.00      0.08      0.00     90.07
19:46:19        all      7.21      0.00      0.66      0.05      0.00     92.08
19:47:19        all      7.27      0.00      0.59      0.06      0.00     92.08
19:48:19        all      6.80      0.00      0.70      0.14      0.00     92.37
19:49:19        all      5.78      0.00      0.48      0.05      0.00     93.69
19:50:19        all      5.79      0.00      0.49      0.04      0.00     93.69
19:51:19        all      5.81      0.00      0.48      0.05      0.00     93.66
19:52:19        all      5.88      0.00      0.41      0.04      0.00     93.67
19:53:19        all      5.50      0.00      0.74      0.20      0.00     93.56
19:54:19        all      4.36      0.00      0.40      0.07      0.00     95.17
19:55:19        all      4.42      0.00      0.28      0.05      0.00     95.26
19:56:19        all      4.18      0.00      0.57      0.09      0.00     95.16
19:57:19        all      3.45      0.00      0.61      0.26      0.00     95.68
19:58:19        all      2.41      0.00      0.66      0.28      0.00     96.65
19:59:19        all      1.85      0.00      0.42      0.23      0.00     97.50
20:00:19        all      1.51      0.00      0.08      0.02      0.00     98.38
20:01:19        all      1.52      0.00      0.07      0.00      0.00     98.41
20:02:19        all      1.52      0.00      0.06      0.00      0.00     98.41
20:03:19        all      1.51      0.00      0.07      0.00      0.00     98.42
20:04:19        all      1.52      0.00      0.06      0.00      0.00     98.42
20:05:19        all      1.51      0.00      0.07      0.00      0.00     98.42
20:06:19        all      1.52      0.00      0.07      0.00      0.00     98.41
20:07:19        all      1.52      0.00      0.07      0.00      0.00     98.42
20:08:19        all      1.51      0.00      0.07      0.00      0.00     98.42
20:09:19        all      1.51      0.00      0.07      0.00      0.00     98.42
20:10:19        all      1.51      0.00      0.07      0.00      0.00     98.42
20:11:19        all      1.52      0.00      0.07      0.00      0.00     98.41
20:12:19        all      1.52      0.00      0.07      0.00      0.00     98.42
20:13:19        all      1.51      0.00      0.07      0.00      0.00     98.42
20:14:19        all      1.51      0.00      0.07      0.00      0.00     98.42
20:15:19        all      1.52      0.00      0.07      0.00      0.00     98.42
20:16:19        all      1.52      0.00      0.07      0.00      0.00     98.41
20:17:19        all      1.52      0.00      0.06      0.00      0.00     98.42
20:18:19        all      1.54      0.00      0.05      0.00      0.00     98.42
20:19:19        all      1.47      0.00      0.09      0.02      0.00     98.42
20:20:19        all      1.44      0.00      0.15      0.04      0.00     98.37
20:21:19        all      1.48      0.00      0.11      0.02      0.00     98.39
20:22:19        all      1.46      0.00      0.12      0.03      0.00     98.40
20:23:19        all      1.45      0.00      0.14      0.05      0.00     98.36
20:24:19        all      1.44      0.00      0.18      0.04      0.00     98.34
20:25:19        all      1.43      0.00      0.18      0.07      0.00     98.33
20:26:19        all      1.46      0.00      0.16      0.04      0.00     98.35
20:27:19        all      1.47      0.00      0.14      0.04      0.00     98.35
20:28:19        all      1.45      0.00      0.16      0.03      0.00     98.37
20:29:19        all      1.45      0.00      0.16      0.03      0.00     98.37
