# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1418322859;191135504;72984052;27.63;276724;49009324;53386680;19.51;40846132;8573464
axle;60;1418322919;174500764;89618792;33.93;277760;65400228;53402944;19.51;49821640;16002748
axle;60;1418322979;157480304;106639252;40.38;278340;78313112;57737736;21.10;60192964;22451644
axle;60;1418323039;146894820;117224736;44.38;278996;91781636;54309544;19.84;63357520;29685320
axle;60;1418323099;130718600;133400956;50.51;279488;104707524;57925640;21.17;72862964;36157776
axle;60;1418323159;119472444;144647112;54.77;280044;117530828;55840852;20.40;77457724;42619364
axle;60;1418323219;110391316;153728240;58.20;280424;124428604;57605080;21.05;82573552;46465084
axle;60;1418323279;102599216;161520340;61.15;281076;132114724;57588796;21.04;86377724;50356044
axle;60;1418323339;94532692;169586864;64.21;281468;140068264;57588680;21.04;90325928;54357112
axle;60;1418323399;85465240;178654316;67.64;281832;148976728;57588680;21.04;95745800;57848872
axle;60;1418323459;80231388;183888168;69.62;282192;154147904;57587828;21.04;97593812;61181564
axle;60;1418323519;72264980;191854576;72.64;282488;157832756;61786220;22.58;102952364;63705332
axle;60;1418323579;71549724;192569832;72.91;282872;162660656;57578156;21.04;100508220;66778124
axle;60;1418323639;66848864;197270692;74.69;283284;167273388;57544844;21.03;102301356;69598856
axle;60;1418323699;64599196;199520360;75.54;283528;171176688;56358076;20.59;102258976;71815316
axle;60;1418323759;58584424;205535132;77.82;283712;175394348;57566288;21.03;105784432;74234320
axle;60;1418323819;54268068;209851488;79.45;283944;179629116;57566288;21.03;107536440;76716792
axle;60;1418323879;49267864;214851692;81.35;284152;184535032;57566288;21.03;109561364;79598044
axle;60;1418323939;50097124;214022432;81.03;284388;187861068;53377748;19.50;106827820;81459452
axle;60;1418323999;46678988;217440568;82.33;284600;191221776;53377748;19.50;108593220;83056104
axle;60;1418324059;43226316;220893240;83.63;284792;194622912;53377748;19.50;110378780;84670900
axle;60;1418324119;39794312;224325244;84.93;284988;198000500;53377748;19.50;112149700;86277676
axle;60;1418324179;36312896;227806660;86.25;285176;201426676;53377748;19.50;113944232;87909684
axle;60;1418324239;32890688;231228868;87.55;285392;204795544;53393872;19.51;115714584;89509012
axle;60;1418324299;29447616;234671940;88.85;285588;208183680;53393872;19.51;117488696;91122324
axle;60;1418324359;26012060;238107496;90.15;285792;211565420;53393872;19.51;119267508;92726020
axle;60;1418324419;22588864;241530692;91.45;286008;214934092;53376768;19.50;121031064;94331284
axle;60;1418324479;19218972;244900584;92.72;286192;218252636;53376768;19.50;122772148;95908792
axle;60;1418324539;15780556;248339000;94.03;286388;221637744;53392972;19.51;124553088;97513016
axle;60;1418324599;12340892;251778664;95.33;286596;225025384;53392972;19.51;126328036;99126944
axle;60;1418324659;8923580;255195976;96.62;286796;228388688;53376596;19.50;128094032;100724032
axle;60;1418324719;5497708;258621848;97.92;286980;231764132;53376596;19.50;129864740;102328348
axle;60;1418324779;2048136;262071420;99.22;287204;235159456;53392784;19.51;131647020;103941972
axle;60;1418324839;470656;263648900;99.82;148260;236826680;53392784;19.51;132474924;104642296
axle;60;1418324899;445168;263674388;99.83;148056;236810048;53409128;19.51;133218272;103883308
