# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1418339314;5421792;258697764;97.95;39932;230120844;54551892;19.93;197990004;33563484
axle;60;1418339374;468700;263650856;99.82;40108;234730608;54843620;20.04;198733740;37750552
axle;60;1418339434;450132;263669424;99.83;33640;234364276;55263484;20.19;188559348;47963656
axle;60;1418339494;460580;263658976;99.83;28160;233934896;55702560;20.35;179116460;57406672
axle;60;1418339554;450940;263668616;99.83;28040;233224064;56482984;20.64;186823468;49734188
axle;60;1418339614;445960;263673596;99.83;25824;233503480;56217204;20.54;179581624;56978144
axle;60;1418339674;694680;263424876;99.74;25792;233728004;55971988;20.45;180874820;55377284
axle;60;1418339734;472876;263646680;99.82;21348;233795128;55839156;20.40;176899032;59577648
axle;60;1418339794;600416;263519140;99.77;19124;233300468;56276336;20.56;174971360;61395964
axle;60;1418339854;789512;263330044;99.70;18204;232895528;56455168;20.63;175997048;60165700
axle;60;1418339914;1400772;262718784;99.47;18444;232282272;56429628;20.62;178985080;56565536
axle;60;1418339974;1747472;262372084;99.34;18708;232705988;55666704;20.34;183786612;51410812
axle;60;1418340034;1108748;263010808;99.58;18980;232508036;56589060;20.68;189505436;46348876
axle;60;1418340094;473572;263645984;99.82;19156;231920380;57820984;21.13;189608876;46870944
axle;60;1418340154;1985064;262134492;99.25;19320;229948736;58294476;21.30;190294704;44685288
axle;60;1418340214;3861916;260257640;98.54;19848;227747836;58512860;21.38;192097940;40995292
axle;60;1418340274;8327696;255791860;96.85;20300;225870920;55911824;20.43;191462444;37161444
axle;60;1418340334;9554492;254565064;96.38;20540;224016056;56618988;20.69;192653464;34766580
axle;60;1418340394;11753244;252366312;95.55;20792;222477296;56038124;20.48;192515784;32701008
axle;60;1418340454;13993564;250125992;94.70;21036;219889596;56405092;20.61;192470580;30518660
axle;60;1418340514;15750760;248368796;94.04;21260;217822004;56657896;20.70;192851704;28383444
axle;60;1418340574;17557556;246562000;93.35;21508;216541100;56205368;20.54;192469656;27027356
axle;60;1418340634;16557728;247561828;93.73;21756;216979264;57012132;20.83;193082108;27410008
axle;60;1418340694;13166028;250953528;95.02;22440;217924160;59254968;21.65;197219432;26661392
axle;60;1418340754;10874480;253245076;95.88;22636;218214088;61290180;22.39;200195620;25973996
axle;60;1418340814;10043344;254076212;96.20;22860;217748552;62559424;22.86;201581456;25417192
axle;60;1418340874;7839940;256279616;97.03;23096;217792824;64723276;23.65;203721904;25473844
axle;60;1418340934;5891740;258227816;97.77;23216;217794020;66690072;24.37;205649320;25493796
axle;60;1418340994;4055524;260064032;98.46;23416;217813768;68497288;25.03;207489468;25485860
axle;60;1418341054;2636596;261482960;99.00;23448;217821868;69915660;25.55;209017708;25372268
axle;60;1418341114;2487144;261632412;99.06;23660;217937800;69939704;25.55;209098272;25440084
axle;60;1418341174;750224;263369332;99.72;23780;218719060;70894328;25.90;210184464;26087808
axle;60;1418341234;450016;263669540;99.83;23156;216842608;73043652;26.69;200387988;36172936
axle;60;1418341294;536484;263583072;99.80;18100;215151604;74678028;27.29;197076296;39447300
axle;60;1418341354;439252;263680304;99.83;15644;213609936;76278500;27.87;192004588;44626288
axle;60;1418341414;440552;263679004;99.83;14912;212128120;77766248;28.41;192106748;44526052
axle;60;1418341474;13418064;250701492;94.92;13380;212233496;64701228;23.64;184458388;39223636
axle;60;1418341534;10903164;253216392;95.87;13640;212790832;66684404;24.37;192559700;33649904
axle;60;1418341594;9053628;255065928;96.57;13744;213038072;68267692;24.94;197385864;30675720
axle;60;1418341654;7090048;257029508;97.32;13932;213387400;69863748;25.53;200446444;29575940
axle;60;1418341714;6330664;257788892;97.60;14140;213704228;70306332;25.69;201053848;29725860
axle;60;1418341774;4188988;259930568;98.41;14360;216208192;69949352;25.56;204391228;28528924
axle;60;1418341834;3236444;260883112;98.77;14596;216889172;70230360;25.66;206307352;27563888
axle;60;1418341894;453128;263666428;99.83;14508;219292112;70602604;25.80;207659416;28983224
axle;60;1418341954;480892;263638664;99.82;14428;219278904;70585896;25.79;205363180;31267140
axle;60;1418342014;2396312;261723244;99.09;14500;217266552;70692004;25.83;210508952;24207580
axle;60;1418342074;453036;263666520;99.83;14324;218870156;71039744;25.96;212946396;23704984
axle;60;1418342134;10175628;253943928;96.15;14532;223200696;56961696;20.81;201239168;25702836
axle;60;1418342194;15830292;248289264;94.01;14856;219620092;54880728;20.05;200093540;21181980
axle;60;1418342254;14859432;249260124;94.37;15080;220143588;55277624;20.20;200833868;21416180
axle;60;1418342314;14495772;249623784;94.51;15288;220507176;55293792;20.20;202580944;20027632
