# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1418339314;0.00;0.00
axle;60;1418339374;0.00;0.05
axle;60;1418339434;0.00;0.00
axle;60;1418339494;0.00;0.00
axle;60;1418339554;0.00;0.00
axle;60;1418339614;0.00;0.00
axle;60;1418339674;0.00;0.00
axle;60;1418339734;0.00;0.00
axle;60;1418339794;0.00;0.00
axle;60;1418339854;0.00;0.00
axle;60;1418339914;0.00;0.00
axle;60;1418339974;0.00;0.00
axle;60;1418340034;0.00;0.02
axle;60;1418340094;0.00;0.00
axle;60;1418340154;0.00;0.00
axle;60;1418340214;0.00;0.00
axle;60;1418340274;0.00;0.00
axle;60;1418340334;0.00;0.00
axle;60;1418340394;0.00;0.00
axle;60;1418340454;0.00;0.00
axle;60;1418340514;0.00;0.00
axle;60;1418340574;0.00;0.00
axle;60;1418340634;0.00;0.00
axle;60;1418340694;0.00;0.00
axle;60;1418340754;0.00;0.00
axle;60;1418340814;0.00;0.00
axle;60;1418340874;0.00;0.00
axle;60;1418340934;0.00;0.02
axle;60;1418340994;0.00;0.00
axle;60;1418341054;0.00;0.00
axle;60;1418341114;0.00;0.00
axle;60;1418341174;0.00;0.00
axle;60;1418341234;0.00;0.00
axle;60;1418341294;0.00;0.00
axle;60;1418341354;0.00;0.00
axle;60;1418341414;0.00;0.00
axle;60;1418341474;0.00;0.00
axle;60;1418341534;0.00;0.00
axle;60;1418341594;0.00;0.00
axle;60;1418341654;0.00;0.00
axle;60;1418341714;0.00;0.00
axle;60;1418341774;0.00;0.00
axle;60;1418341834;0.00;0.00
axle;60;1418341894;0.00;0.00
axle;60;1418341954;0.00;0.00
axle;60;1418342014;0.00;0.00
axle;60;1418342074;0.00;0.00
axle;60;1418342134;0.00;0.00
axle;60;1418342194;0.00;0.00
axle;60;1418342254;0.00;0.00
axle;60;1418342314;0.00;0.00
axle;60;1418342374;0.00;0.00
axle;60;1418342434;0.00;0.00
axle;60;1418342494;0.00;0.00
axle;60;1418342554;0.00;0.00
axle;60;1418342614;0.00;0.00
axle;60;1418342674;0.00;0.00
axle;60;1418342734;0.00;0.00
axle;60;1418342794;0.00;0.00
axle;60;1418342854;0.00;0.00
axle;60;1418342914;0.00;0.00
axle;60;1418342974;0.00;0.00
axle;60;1418343034;0.00;0.00
axle;60;1418343094;0.00;0.00
axle;60;1418343154;0.00;0.00
axle;60;1418343214;0.00;0.00
axle;60;1418343274;0.00;0.00
axle;60;1418343334;0.00;0.00
axle;60;1418343394;0.00;0.00
axle;60;1418343454;0.00;0.00
axle;60;1418343514;0.00;0.00
axle;60;1418343574;0.00;0.00
axle;60;1418343634;0.00;0.02
axle;60;1418343694;0.00;0.00
axle;60;1418343754;0.00;0.00
axle;60;1418343814;0.00;0.00
axle;60;1418343874;0.00;0.00
axle;60;1418343934;0.13;0.02
axle;60;1418343994;0.00;0.00
axle;60;1418344054;0.00;0.00
axle;60;1418344114;0.00;0.00
axle;60;1418344174;0.00;0.00
axle;60;1418344234;0.00;0.00
axle;60;1418344294;0.00;0.00
axle;60;1418344354;0.00;0.00
axle;60;1418344414;0.00;0.00
axle;60;1418344474;0.00;0.00
axle;60;1418344534;0.00;0.00
axle;60;1418344594;0.00;0.00
axle;60;1418344654;0.00;0.00
axle;60;1418344714;0.00;0.00
axle;60;1418344774;0.00;0.00
axle;60;1418344834;0.00;0.00
axle;60;1418344894;0.00;0.00
axle;60;1418344954;0.00;0.00
axle;60;1418345014;0.00;0.00
axle;60;1418345074;0.00;0.00
axle;60;1418345134;0.00;0.00
axle;60;1418345194;0.00;0.00
axle;60;1418345254;0.00;0.00
axle;60;1418345314;0.00;0.00
axle;60;1418345374;0.00;0.00
axle;60;1418345434;0.00;0.00
axle;60;1418345494;0.00;0.00
axle;60;1418345554;0.00;0.00
axle;60;1418345614;0.00;0.00
axle;60;1418345674;0.00;0.00
axle;60;1418345734;0.00;0.00
axle;60;1418345794;0.00;0.00
axle;60;1418345854;0.00;0.00
axle;60;1418345914;0.00;0.00
axle;60;1418345974;0.00;0.00
axle;60;1418346034;0.00;0.00
axle;60;1418346094;0.00;0.00
axle;60;1418346154;0.00;0.00
axle;60;1418346214;0.00;0.00
axle;60;1418346274;0.00;0.00
axle;60;1418346334;0.13;0.00
axle;60;1418346394;0.00;0.00
axle;60;1418346454;0.00;0.00
axle;60;1418346514;0.00;0.00
axle;60;1418346574;0.00;0.00
axle;60;1418346634;0.00;0.00
axle;60;1418346694;0.00;0.00
axle;60;1418346754;0.00;0.00
axle;60;1418346814;0.00;0.00
axle;60;1418346874;0.00;0.00
axle;60;1418346934;0.00;0.00
axle;60;1418346994;0.00;0.00
axle;60;1418347054;0.00;0.00
axle;60;1418347114;0.00;0.00
axle;60;1418347174;0.00;0.00
axle;60;1418347234;0.00;0.00
axle;60;1418347294;0.00;0.00
axle;60;1418347354;0.00;0.00
axle;60;1418347414;0.00;0.00
axle;60;1418347474;0.00;0.00
axle;60;1418347534;0.00;0.00
axle;60;1418347594;0.00;0.00
axle;60;1418347654;0.00;0.02
axle;60;1418347714;0.00;0.00
axle;60;1418347774;0.00;0.00
axle;60;1418347834;0.00;0.00
axle;60;1418347894;0.00;0.00
axle;60;1418347954;0.00;0.00
axle;60;1418348014;0.00;0.00
axle;60;1418348074;0.00;0.00
axle;60;1418348134;0.13;0.00
axle;60;1418348194;0.00;0.00
axle;60;1418348254;0.00;0.00
axle;60;1418348314;0.00;0.00
axle;60;1418348374;0.00;0.00
axle;60;1418348434;0.00;0.00
