Linux 3.11.0-17-generic (axle) 	11/12/14 	_x86_64_	(64 CPU)

23:07:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:08:34        all      4.87      0.00      2.34      0.70      0.00     92.09
23:09:34        all      5.16      0.00      2.18      0.76      0.00     91.90
23:10:34        all      6.30      0.00      1.51      0.20      0.00     92.00
23:11:34        all      6.54      0.00      1.37      0.05      0.00     92.03
23:12:34        all      6.15      0.00      1.71      0.03      0.00     92.10
23:13:34        all      6.22      0.00      1.71      0.03      0.00     92.04
23:14:34        all      6.30      0.00      1.52      0.06      0.00     92.12
23:15:34        all      5.08      0.00      2.07      0.88      0.00     91.98
23:16:34        all      4.73      0.00      2.38      1.05      0.00     91.84
23:17:34        all      5.79      0.00      1.89      0.29      0.00     92.04
23:18:34        all      6.24      0.00      1.61      0.03      0.00     92.12
23:19:34        all      6.18      0.00      1.56      0.13      0.00     92.13
23:20:34        all      5.96      0.00      1.87      0.08      0.00     92.08
23:21:34        all      5.62      0.00      2.23      0.04      0.00     92.11
23:22:34        all      5.46      0.00      2.39      0.04      0.00     92.11
23:23:34        all      5.24      0.00      2.29      0.41      0.00     92.05
23:24:34        all      5.40      0.00      1.97      0.72      0.00     91.92
23:25:34        all      5.70      0.00      2.11      0.14      0.00     92.05
23:26:34        all      5.82      0.00      2.05      0.02      0.00     92.12
23:27:34        all      5.97      0.00      1.88      0.02      0.00     92.13
23:28:34        all      6.02      0.00      1.84      0.02      0.00     92.12
23:29:34        all      6.16      0.00      1.70      0.02      0.00     92.12
23:30:34        all      6.38      0.00      1.47      0.05      0.00     92.11
23:31:34        all      5.75      0.00      1.61      0.67      0.00     91.97
23:32:34        all      6.11      0.00      1.63      0.28      0.00     91.98
23:33:34        all      6.27      0.00      1.58      0.03      0.00     92.12
23:34:34        all      6.14      0.00      1.72      0.02      0.00     92.12
23:35:34        all      6.06      0.00      1.80      0.01      0.00     92.12
23:36:34        all      6.16      0.00      1.71      0.01      0.00     92.12
23:37:34        all      5.75      0.00      1.47      0.02      0.00     92.77
23:38:34        all      5.22      0.00      1.09      0.02      0.00     93.68
23:39:34        all      5.09      0.00      1.21      0.02      0.00     93.67
23:40:34        all      4.78      0.00      1.56      0.02      0.00     93.63
23:41:34        all      4.75      0.00      1.55      0.06      0.00     93.63
23:42:34        all      4.45      0.00      1.68      0.23      0.00     93.64
23:43:34        all      4.70      0.00      1.54      0.13      0.00     93.63
23:44:34        all      4.22      0.00      1.81      0.30      0.00     93.67
23:45:34        all      4.76      0.00      1.47      0.08      0.00     93.69
23:46:34        all      4.76      0.00      1.50      0.06      0.00     93.68
23:47:34        all      4.89      0.00      1.38      0.05      0.00     93.69
23:48:34        all      4.99      0.00      1.28      0.03      0.00     93.69
23:49:34        all      4.32      0.00      1.55      0.42      0.00     93.71
23:50:34        all      4.76      0.00      1.53      0.04      0.00     93.67
23:51:34        all      4.52      0.00      1.76      0.06      0.00     93.66
23:52:34        all      4.82      0.00      1.52      0.01      0.00     93.65
23:53:34        all      4.47      0.00      1.76      0.10      0.00     93.67
23:54:34        all      4.13      0.00      2.09      0.13      0.00     93.65
23:55:34        all      4.15      0.00      1.89      0.32      0.00     93.65
23:56:34        all      4.35      0.00      1.53      0.45      0.00     93.67
23:57:34        all      4.62      0.00      1.65      0.04      0.00     93.68
23:58:34        all      4.87      0.00      1.41      0.03      0.00     93.69
23:59:34        all      4.93      0.00      1.37      0.02      0.00     93.68
