ctime,relname,pid,mode,granted
1418322844.72958,pg_locks,61174,AccessShareLock,t
1418322844.72958,pg_stat_activity,61177,AccessShareLock,t
1418322844.72958,pg_stat_database,61175,AccessShareLock,t
1418322844.72958,pg_statio_all_tables,61176,AccessShareLock,t
1418322904.73386,customer,61202,RowExclusiveLock,t
1418322904.73386,lineitem,61199,RowExclusiveLock,t
1418322904.73386,orders,61198,RowExclusiveLock,t
1418322904.73386,part,61197,RowExclusiveLock,t
1418322904.73386,partsupp,61195,RowExclusiveLock,t
1418322904.73386,pg_locks,61234,AccessShareLock,t
1418322904.73386,pg_stat_activity,61235,AccessShareLock,t
1418322964.74913,customer,61249,ShareLock,t
1418322964.74913,customer,61247,ShareLock,t
1418322964.74913,customer,61246,ShareLock,t
1418322964.74913,lineitem,61199,RowExclusiveLock,t
1418322964.74913,orders,61198,RowExclusiveLock,t
1418322964.74913,part,61257,ShareLock,t
1418322964.74913,part,61258,ShareLock,f
1418322964.74913,part,61259,ShareLock,f
1418322964.74913,part,61260,ShareLock,f
1418322964.74913,part,61256,AccessExclusiveLock,f
1418322964.74913,partsupp,61195,RowExclusiveLock,t
1418322964.74913,pg_locks,61269,AccessShareLock,t
1418322964.74913,pg_stat_activity,61272,AccessShareLock,t
1418322964.74913,pg_stat_all_indexes,61271,AccessShareLock,t
1418322964.74913,pg_stat_all_tables,61270,AccessShareLock,t
1418322964.74913,pg_stat_database,61273,AccessShareLock,t
1418322964.74913,pg_statio_all_indexes,61271,AccessShareLock,t
1418322964.74913,pg_statio_all_tables,61270,AccessShareLock,t
1418323024.74428,lineitem,61199,RowExclusiveLock,t
1418323024.74428,orders,61198,RowExclusiveLock,t
1418323024.74428,part,61259,ShareLock,f
1418323024.74428,part,61256,AccessExclusiveLock,f
1418323024.74428,part,61260,ShareLock,f
1418323024.74428,part,61257,ShareLock,t
1418323024.74428,part,61258,ShareLock,f
1418323024.74428,partsupp,61195,RowExclusiveLock,t
1418323024.74428,pg_locks,61287,AccessShareLock,t
1418323024.74428,pg_stat_activity,61288,AccessShareLock,t
1418323024.74428,pg_stat_all_indexes,61285,AccessShareLock,t
1418323024.74428,pg_stat_database,61286,AccessShareLock,t
1418323024.74428,pg_statio_all_indexes,61285,AccessShareLock,t
1418323024.74428,pg_statio_all_tables,61289,AccessShareLock,t
1418323084.74844,lineitem,61199,RowExclusiveLock,t
1418323084.74844,orders,61198,RowExclusiveLock,t
