# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1418329874;25056776;239062780;90.51;46072;211100880;53546156;19.56;117998724;93381180
axle;60;1418329934;17822432;246297124;93.25;46632;217608812;54291192;19.84;119940688;98668236
axle;60;1418329994;16838808;247280748;93.62;47136;218601848;54231140;19.82;123182244;96418172
axle;60;1418330054;16433772;247685784;93.78;47520;219005976;54266864;19.83;129431828;90571024
axle;60;1418330114;16368404;247751152;93.80;48164;219066580;54323604;19.85;129631284;90435536
axle;60;1418330174;10508220;253611336;96.02;48636;224803868;54427380;19.89;134118928;91815568
axle;60;1418330234;7086548;257033008;97.32;48812;228143620;54493960;19.91;141822024;87536996
axle;60;1418330294;4768676;259350880;98.19;48992;230462540;54493960;19.91;143266948;88412080
axle;60;1418330354;7579952;256539604;97.13;49240;228640640;53471668;19.54;144861084;84004940
axle;60;1418330414;5270260;258849296;98.00;49352;230928224;53471668;19.54;145309612;85865120
axle;60;1418330474;2538304;261581252;99.04;49472;233616336;53512464;19.55;146109524;87791184
axle;60;1418330534;443380;263676176;99.83;48880;235678664;53561796;19.57;147293280;88727396
axle;60;1418330594;441388;263678168;99.83;47188;235591404;53677068;19.61;146894784;89127676
axle;60;1418330654;448672;263670884;99.83;44608;235451440;53865348;19.68;148950508;87084920
axle;60;1418330714;442716;263676840;99.83;43996;235258972;54057728;19.75;153026408;83035548
axle;60;1418330774;459220;263660336;99.83;43592;235002052;54338428;19.85;156894300;79151880
axle;60;1418330834;438412;263681144;99.83;43344;234803704;54542332;19.93;159722616;76349212
axle;60;1418330894;439948;263679608;99.83;43328;234789300;54542332;19.93;161564088;74494408
axle;60;1418330954;459312;263660244;99.83;43500;234762796;54542332;19.93;163160072;72871956
axle;60;1418331014;464652;263654904;99.82;43672;234755060;54542332;19.93;164505608;71519184
axle;60;1418331074;437304;263682252;99.83;43828;234781336;54542332;19.93;165692472;70358420
axle;60;1418331134;435072;263684484;99.84;43996;234783740;54542332;19.93;166652376;69401236
axle;60;1418331194;474356;263645200;99.82;44160;234747968;54526204;19.92;167406108;68611820
axle;60;1418331254;436700;263682856;99.83;44328;234786800;54526204;19.92;168202260;67854632
axle;60;1418331314;449576;263669980;99.83;44504;234773908;54542380;19.93;168804836;67239584
axle;60;1418331374;469984;263649572;99.82;44676;234753620;54542380;19.93;169310604;66713780
axle;60;1418331434;437556;263682000;99.83;44840;234785980;54542380;19.93;169883016;66173672
axle;60;1418331494;438860;263680696;99.83;45012;234785916;54542380;19.93;170341248;65715492
axle;60;1418331554;448200;263671356;99.83;45180;234773736;54558572;19.93;170738792;65305900
axle;60;1418331614;441612;263677944;99.83;45360;234778832;54542148;19.93;171155716;64894780
axle;60;1418331674;445028;263674528;99.83;45516;234775448;54542000;19.93;171529568;64517236
axle;60;1418331734;460616;263658940;99.83;45680;234760692;54542000;19.93;171859896;64172312
axle;60;1418331794;454664;263664892;99.83;45864;234769076;54558152;19.93;172240904;63799884
axle;60;1418331854;448644;263670912;99.83;46032;234777092;54558152;19.93;172594732;63454304
axle;60;1418331914;453924;263665632;99.83;46224;234772196;54574276;19.94;172897172;63147368
axle;60;1418331974;447632;263671924;99.83;46412;234779540;54590624;19.95;173329976;62721756
