# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1418329874;sdb;288.92;684.40;153074.93;532.19;0.31;1.09;0.10;2.89
axle;60;1418329874;sda;47.38;543.07;12294.67;270.93;0.62;13.04;0.80;3.81
axle;60;1418329934;sdb;5030.63;200562.80;19609.20;43.77;0.40;0.08;0.06;29.62
axle;60;1418329934;sda;3.63;68.80;146.93;59.38;0.03;8.94;2.13;0.77
axle;60;1418329994;sdb;8954.98;29878.80;149916.80;20.08;24.93;2.79;0.04;32.68
axle;60;1418329994;sda;14.85;2266.27;284.40;171.76;0.07;4.44;1.54;2.29
axle;60;1418330054;sdb;683.57;11982.13;3770.27;23.04;0.04;0.07;0.06;3.89
axle;60;1418330054;sda;3.75;154.53;185.60;90.70;0.03;8.68;2.56;0.96
axle;60;1418330114;sdb;3.10;0.00;1116.00;360.00;0.00;0.00;0.00;0.00
axle;60;1418330114;sda;7.68;398.27;639.87;135.11;0.08;10.72;3.75;2.88
axle;60;1418330174;sdb;841.32;209842.67;3357.87;253.41;1.24;1.47;0.45;37.81
axle;60;1418330174;sda;4.70;103.47;178.13;59.91;0.03;6.70;1.30;0.61
axle;60;1418330234;sdb;361.92;69148.93;34848.00;287.35;0.35;0.97;0.34;12.45
axle;60;1418330234;sda;1.27;0.13;33.87;26.84;0.00;0.16;0.11;0.01
axle;60;1418330294;sdb;208.93;25172.13;38434.53;304.44;0.13;0.63;0.18;3.68
axle;60;1418330294;sda;1.02;0.00;54.93;54.03;0.00;0.00;0.00;0.00
axle;60;1418330354;sdb;745.38;33446.00;21020.93;73.07;0.50;0.67;0.34;25.67
axle;60;1418330354;sda;2.07;22.13;37.20;28.71;0.01;4.94;1.48;0.31
axle;60;1418330414;sdb;2650.20;76265.20;14.27;28.78;1.11;0.42;0.30;80.55
axle;60;1418330414;sda;1.70;0.13;56.93;33.57;0.00;0.00;0.00;0.00
axle;60;1418330474;sdb;2896.00;89596.67;12.67;30.94;1.35;0.47;0.27;77.99
axle;60;1418330474;sda;1.22;0.00;19.60;16.11;0.00;0.00;0.00;0.00
axle;60;1418330534;sdb;2536.80;89053.33;132.67;35.16;1.28;0.50;0.29;72.61
axle;60;1418330534;sda;0.95;0.00;17.07;17.96;0.00;0.00;0.00;0.00
axle;60;1418330594;sdb;2807.82;97100.13;136.27;34.63;1.54;0.55;0.24;66.71
axle;60;1418330594;sda;1.12;0.00;59.47;53.25;0.00;0.00;0.00;0.00
axle;60;1418330654;sdb;2092.60;59978.93;246.53;28.78;1.06;0.51;0.21;44.25
axle;60;1418330654;sda;0.93;0.00;17.73;19.00;0.00;0.07;0.07;0.01
axle;60;1418330714;sdb;678.30;15149.60;346.13;22.84;0.31;0.45;0.23;15.45
axle;60;1418330714;sda;1.45;1.47;72.40;50.94;0.00;0.69;0.32;0.05
axle;60;1418330774;sdb;194.80;3365.20;360.93;19.13;0.07;0.37;0.22;4.29
axle;60;1418330774;sda;1.27;0.00;46.27;36.53;0.00;0.00;0.00;0.00
axle;60;1418330834;sdb;133.13;1953.60;848.00;21.04;0.04;0.30;0.16;2.13
axle;60;1418330834;sda;1.02;0.00;44.93;44.20;0.00;0.00;0.00;0.00
axle;60;1418330894;sdb;116.37;1580.00;3614.53;44.64;0.08;0.65;0.15;1.80
axle;60;1418330894;sda;1.48;0.00;56.40;38.02;0.00;0.00;0.00;0.00
axle;60;1418330954;sdb;58.15;598.67;2921.07;60.53;0.04;0.77;0.20;1.17
axle;60;1418330954;sda;0.90;0.00;38.93;43.26;0.00;0.00;0.00;0.00
axle;60;1418331014;sdb;36.85;258.67;2716.40;80.73;0.03;0.89;0.14;0.52
axle;60;1418331014;sda;1.27;0.00;43.73;34.53;0.00;0.05;0.05;0.01
