# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1418329874;613.67;82684.80;80686.55;0.07;120114.82;0.00;0.00;0.00;0.00
axle;60;1418329934;100308.60;9878.07;94020.67;0.00;114744.20;0.00;0.00;0.00;0.00
axle;60;1418329994;16079.73;75100.60;84532.33;0.00;106213.72;0.00;0.00;0.00;0.00
axle;60;1418330054;6068.33;1977.93;68789.55;0.00;92844.00;0.00;0.00;0.00;0.00
axle;60;1418330114;199.13;877.93;77030.83;0.00;104060.33;0.00;0.00;0.00;0.00
axle;60;1418330174;104970.93;1768.00;19941.08;0.00;30487.07;0.00;0.00;0.00;0.00
axle;60;1418330234;34576.67;17440.93;353.15;0.00;206.97;0.00;0.00;0.00;0.00
axle;60;1418330294;12586.07;19244.73;260.18;0.00;208.37;0.00;0.00;0.00;0.00
axle;60;1418330354;16733.13;10529.07;739.80;0.18;16645.52;0.00;0.00;0.00;0.00
axle;60;1418330414;38131.60;35.60;332.08;0.00;233.53;0.00;0.00;0.00;0.00
axle;60;1418330474;44797.40;16.13;295.38;0.00;207.35;0.00;0.00;0.00;0.00
axle;60;1418330534;44528.40;74.87;353.62;0.00;2755.18;2378.78;166.05;2544.67;99.99
axle;60;1418330594;48549.13;97.87;630.28;0.00;12800.87;12511.17;0.00;12511.17;100.00
axle;60;1418330654;29990.67;132.13;890.98;0.00;8369.02;8008.68;86.93;8095.62;100.00
axle;60;1418330714;7576.33;209.27;1213.55;0.07;3186.87;2445.45;259.20;2704.65;100.00
axle;60;1418330774;1682.73;203.60;1245.70;0.00;1893.07;1204.82;291.20;1496.02;100.00
axle;60;1418330834;976.80;446.47;1199.75;0.00;1514.25;1088.00;108.27;1196.27;100.00
axle;60;1418330894;790.00;1835.47;268.50;0.00;867.50;629.13;0.00;629.13;100.00
axle;60;1418330954;299.33;1480.00;269.95;0.00;765.72;517.22;0.00;517.22;100.00
axle;60;1418331014;129.33;1380.07;315.18;0.00;633.13;399.47;0.00;399.20;99.93
axle;60;1418331074;67.73;1631.20;307.70;0.00;488.80;247.35;0.00;247.35;100.00
axle;60;1418331134;39.73;1529.67;309.05;0.00;564.25;341.65;0.00;341.65;100.00
axle;60;1418331194;26.27;1548.47;308.87;0.00;719.97;500.10;0.00;500.10;100.00
axle;60;1418331254;11.93;1428.00;385.30;0.00;402.42;190.13;0.00;190.13;100.00
axle;60;1418331314;8.33;1531.47;397.70;0.00;642.70;393.78;0.00;393.78;100.00
axle;60;1418331374;6.13;1472.27;336.03;0.00;654.97;415.75;0.00;415.50;99.94
axle;60;1418331434;3.27;1481.20;354.07;0.00;409.97;197.85;0.00;197.85;100.00
axle;60;1418331494;3.73;1481.20;428.95;0.00;553.48;335.70;0.00;335.70;100.00
axle;60;1418331554;1.67;1624.27;454.48;0.00;606.08;386.23;0.00;386.23;100.00
axle;60;1418331614;0.93;1508.07;633.92;0.00;664.35;317.42;0.00;317.42;100.00
axle;60;1418331674;0.80;1513.40;359.47;0.00;591.67;356.52;0.00;356.52;100.00
axle;60;1418331734;0.27;1402.00;343.57;0.00;621.17;403.38;0.00;403.38;100.00
axle;60;1418331794;0.60;1520.20;342.95;0.00;525.50;310.28;0.00;310.28;100.00
axle;60;1418331854;0.80;1627.20;317.00;0.00;545.58;305.90;0.00;305.90;100.00
axle;60;1418331914;0.53;1356.20;362.80;0.00;590.70;350.28;0.00;350.28;100.00
axle;60;1418331974;0.13;1477.27;316.25;0.00;529.07;301.38;0.00;301.07;99.89
axle;60;1418332034;0.00;1473.33;375.57;0.00;614.45;344.97;0.00;344.97;100.00
axle;60;1418332094;0.00;1473.40;336.33;0.00;502.98;256.97;0.00;256.97;100.00
axle;60;1418332154;0.73;4160.93;412.37;0.00;2025.27;1749.65;0.00;1749.65;100.00
axle;60;1418332214;0.00;2551.13;365.12;0.00;230.32;0.00;0.00;0.00;0.00
axle;60;1418332274;38.07;48.80;528.73;0.00;13870.67;0.00;0.00;0.00;0.00
axle;60;1418332334;18.13;26.40;264.08;0.00;227.35;0.00;0.00;0.00;0.00
axle;60;1418332394;13.73;34.53;261.50;0.00;209.10;0.00;0.00;0.00;0.00
axle;60;1418332454;15.47;24.27;259.75;0.00;209.00;0.00;0.00;0.00;0.00
axle;60;1418332514;9.33;28.47;304.83;0.00;222.90;0.00;0.00;0.00;0.00
axle;60;1418332574;12.53;35.67;258.72;0.00;206.13;0.00;0.00;0.00;0.00
axle;60;1418332634;14.27;26.33;281.22;0.00;231.63;0.00;0.00;0.00;0.00
axle;60;1418332694;15.33;27.00;259.38;0.00;205.12;0.00;0.00;0.00;0.00
axle;60;1418332754;15.07;34.47;257.88;0.00;208.05;0.00;0.00;0.00;0.00
axle;60;1418332814;8.53;28.20;281.82;0.00;212.50;0.00;0.00;0.00;0.00
axle;60;1418332874;9.07;26.53;259.90;0.00;206.05;0.00;0.00;0.00;0.00
axle;60;1418332934;15.33;34.00;259.87;0.00;208.02;0.00;0.00;0.00;0.00
axle;60;1418332994;7.67;28.60;502.80;0.00;476.37;0.00;0.00;0.00;0.00
axle;60;1418333054;0.07;46.80;258.95;0.00;208.22;0.00;0.00;0.00;0.00
axle;60;1418333114;0.00;25.80;307.50;0.00;222.95;0.00;0.00;0.00;0.00
axle;60;1418333174;0.00;27.60;257.30;0.00;207.32;0.00;0.00;0.00;0.00
axle;60;1418333234;47041.47;44.60;8450.68;0.00;7433.43;6224.30;444.27;6668.38;100.00
axle;60;1418333294;0.00;26.20;9431.53;0.00;9297.15;8224.22;719.47;8943.67;100.00
axle;60;1418333354;0.00;20.47;7630.70;0.00;7955.60;6675.60;605.33;7280.93;100.00
axle;60;1418333414;1.93;16.87;6697.28;0.08;7392.48;5743.73;560.53;6304.27;100.00
axle;60;1418333474;0.00;36.93;7031.13;0.00;7559.10;6010.10;693.87;6703.97;100.00
axle;60;1418333534;0.00;25.20;7048.58;0.00;7304.13;6234.83;504.53;6739.37;100.00
axle;60;1418333594;0.07;31.40;6821.87;0.00;7041.92;5936.53;502.93;6439.47;100.00
axle;60;1418333654;0.00;12.87;6277.22;0.00;6734.00;5377.97;505.07;5883.03;100.00
axle;60;1418333714;2.13;47.47;6104.57;0.10;6042.18;5303.67;370.67;5674.33;100.00
axle;60;1418333774;0.00;16.07;301.28;0.00;211.18;0.00;0.00;0.00;0.00
axle;60;1418333834;0.00;25.67;301.20;0.00;207.43;0.00;0.00;0.00;0.00
axle;60;1418333894;37318.27;31.60;272.02;0.00;9651.42;9236.00;0.00;9236.00;100.00
axle;60;1418333954;33263.67;365.67;360.13;0.00;8474.70;8023.77;0.00;8023.57;100.00
axle;60;1418334014;62133.20;35.40;283.92;0.00;15796.53;15245.57;0.00;15245.57;100.00
axle;60;1418334074;61579.27;27.60;262.15;0.00;15683.57;15213.77;0.00;15213.77;100.00
axle;60;1418334134;39916.87;29.00;1285.72;0.13;73284.77;9318.12;0.00;9318.03;100.00
axle;60;1418334194;2217.47;31.53;260.22;0.00;481.00;0.00;0.00;0.00;0.00
axle;60;1418334254;855.53;16131.20;1197.37;0.00;3071.15;0.00;0.00;0.00;0.00
axle;60;1418334314;6.27;69309.20;1075.63;0.25;233.45;0.00;0.00;0.00;0.00
axle;60;1418334374;0.87;69399.00;1028.73;0.00;247.80;0.00;0.00;0.00;0.00
axle;60;1418334434;0.00;70314.40;1036.20;0.00;2344.18;2109.57;0.00;2109.57;100.00
axle;60;1418334494;19543.07;42069.60;600.52;0.00;12377.62;12070.50;0.00;12070.40;100.00
axle;60;1418334554;31562.07;3150.47;311.30;0.00;9036.43;8700.15;0.00;8700.13;100.00
axle;60;1418334614;31468.27;2850.40;331.80;0.00;8802.07;8502.62;0.00;8502.55;100.00
axle;60;1418334674;31335.80;2862.00;320.50;0.00;8776.68;8548.58;0.00;8548.33;100.00
axle;60;1418334734;24503.60;3040.27;1524.02;0.00;10315.42;6794.72;0.00;6794.70;100.00
axle;60;1418334794;129.33;40.80;4641.82;0.13;14539.60;0.00;0.00;0.00;0.00
axle;60;1418334854;39.00;43.53;4633.42;0.00;15762.92;0.00;0.00;0.00;0.00
axle;60;1418334914;13.67;40.67;5772.37;0.15;16292.57;0.00;0.00;0.00;0.00
axle;60;1418334974;7.20;50.07;4628.50;0.00;14121.53;0.00;0.00;0.00;0.00
axle;60;1418335034;1.80;54.73;4625.47;0.00;14121.45;0.00;0.00;0.00;0.00
axle;60;1418335094;0.67;38.73;4624.05;0.00;14125.03;0.00;0.00;0.00;0.00
axle;60;1418335154;0.47;39.93;4640.53;0.00;15617.47;0.00;0.00;0.00;0.00
axle;60;1418335214;14.20;3618.87;4479.78;0.30;10567.70;0.00;0.00;0.00;0.00
axle;60;1418335274;0.13;5839.20;270.15;0.00;461.15;0.00;0.00;0.00;0.00
axle;60;1418335334;0.13;4348.53;293.78;0.00;279.23;0.00;0.00;0.00;0.00
axle;60;1418335394;0.33;6143.87;275.65;0.00;268.60;0.00;0.00;0.00;0.00
axle;60;1418335454;0.13;6015.93;281.93;0.00;287.65;0.00;0.00;0.00;0.00
axle;60;1418335514;0.20;6219.87;322.20;0.00;263.90;0.00;0.00;0.00;0.00
axle;60;1418335574;0.00;5751.33;284.02;0.00;208.58;0.00;0.00;0.00;0.00
axle;60;1418335634;782.40;5871.53;276.12;0.00;224.22;0.00;0.00;0.00;0.00
axle;60;1418335694;1737.07;14.20;266.90;0.00;206.18;0.00;0.00;0.00;0.00
axle;60;1418335754;1574.00;26.87;361.57;1.35;238.02;0.00;0.00;0.00;0.00
axle;60;1418335814;1531.07;29.33;278.48;0.00;3168.47;0.00;0.00;0.00;0.00
axle;60;1418335874;1626.87;39.13;2791.80;0.03;13097.10;0.00;0.00;0.00;0.00
axle;60;1418335934;0.00;24.13;1463.62;0.00;616.22;0.00;0.00;0.00;0.00
axle;60;1418335994;0.00;24.53;490.90;0.00;441.15;0.00;0.00;0.00;0.00
axle;60;1418336054;0.00;24.60;576.95;0.00;213.68;0.00;0.00;0.00;0.00
axle;60;1418336114;0.00;28.33;623.32;0.00;222.18;0.00;0.00;0.00;0.00
axle;60;1418336174;2131.33;2883.93;1757.93;0.10;5972.40;0.00;0.00;0.00;0.00
axle;60;1418336234;2.20;45617.13;6704.18;0.05;14171.05;0.00;0.00;0.00;0.00
axle;60;1418336294;1285.93;216.40;6581.67;0.00;15317.30;0.00;0.00;0.00;0.00
axle;60;1418336354;259.07;3212.47;335.95;0.00;224.83;0.00;0.00;0.00;0.00
axle;60;1418336414;1.20;6925.13;490.92;0.02;8570.37;0.00;0.00;0.00;0.00
axle;60;1418336474;0.07;57.33;265.38;0.00;227.18;0.00;0.00;0.00;0.00
axle;60;1418336534;6250.67;26.67;835.88;0.00;430.07;0.00;0.00;0.00;0.00
axle;60;1418336594;23.67;94.87;639.90;0.08;1979.80;0.00;0.00;0.00;0.00
axle;60;1418336654;0.00;24.67;258.65;0.00;207.90;0.00;0.00;0.00;0.00
axle;60;1418336714;0.00;27.47;303.35;0.00;222.28;0.00;0.00;0.00;0.00
axle;60;1418336774;0.00;26.80;377.97;0.00;207.12;0.00;0.00;0.00;0.00
axle;60;1418336834;0.00;23.27;263.88;0.00;227.50;0.00;0.00;0.00;0.00
axle;60;1418336894;0.07;26.47;257.15;0.00;206.17;0.00;0.00;0.00;0.00
axle;60;1418336954;8.47;32.07;436.58;0.10;1300.20;0.00;0.00;0.00;0.00
axle;60;1418337014;2.33;26.93;279.55;0.00;212.32;0.00;0.00;0.00;0.00
axle;60;1418337074;4.20;34.80;256.80;0.00;207.87;0.00;0.00;0.00;0.00
axle;60;1418337134;0.07;25.00;263.13;0.00;226.95;0.00;0.00;0.00;0.00
axle;60;1418337194;0.00;23.87;256.97;0.00;208.20;0.00;0.00;0.00;0.00
axle;60;1418337254;0.00;32.07;256.95;0.00;208.33;0.00;0.00;0.00;0.00
axle;60;1418337314;0.00;20.73;303.40;0.00;223.07;0.00;0.00;0.00;0.00
axle;60;1418337374;0.00;28.66;257.22;0.00;208.08;0.00;0.00;0.00;0.00
axle;60;1418337434;0.00;24.53;263.20;0.00;225.60;0.00;0.00;0.00;0.00
axle;60;1418337494;0.00;24.93;256.68;0.00;208.03;0.00;0.00;0.00;0.00
