# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1418329874;-1854.25;20.75;2401.03
axle;60;1418329934;-30143.10;2.33;27116.38
axle;60;1418329994;-4098.43;2.10;4137.65
axle;60;1418330054;-1687.65;1.60;1683.87
axle;60;1418330114;-272.37;2.68;252.52
axle;60;1418330174;-24417.43;1.97;23905.37
axle;60;1418330234;-14256.97;0.73;13915.63
axle;60;1418330294;-9657.80;0.75;9662.17
axle;60;1418330354;11713.65;1.03;-7591.25
axle;60;1418330414;-9623.72;0.47;9531.60
axle;60;1418330474;-11383.15;0.50;11200.47
axle;60;1418330534;-8728.85;-2.47;8593.03
axle;60;1418330594;-8.30;-7.05;-363.58
axle;60;1418330654;30.35;-10.75;-583.18
axle;60;1418330714;-24.82;-2.55;-801.95
axle;60;1418330774;68.77;-1.68;-1070.50
axle;60;1418330834;-86.70;-1.03;-826.45
axle;60;1418330894;6.40;-0.07;-60.02
axle;60;1418330954;80.68;0.72;-110.43
axle;60;1418331014;22.25;0.72;-32.23
axle;60;1418331074;-113.95;0.65;109.48
axle;60;1418331134;-9.30;0.70;10.02
axle;60;1418331194;163.68;0.68;-149.05
axle;60;1418331254;-156.90;0.70;161.80
axle;60;1418331314;53.65;0.73;-53.72
axle;60;1418331374;85.03;0.72;-84.53
axle;60;1418331434;-135.12;0.68;134.83
axle;60;1418331494;5.43;0.72;-0.27
axle;60;1418331554;38.92;0.70;-50.75
axle;60;1418331614;-27.45;0.75;21.23
axle;60;1418331674;14.23;0.65;-14.10
axle;60;1418331734;64.95;0.68;-61.48
axle;60;1418331794;-24.80;0.77;34.93
axle;60;1418331854;-25.08;0.70;33.40
axle;60;1418331914;22.00;0.80;-20.40
axle;60;1418331974;-26.22;0.78;30.60
axle;60;1418332034;22.35;0.75;-12.12
axle;60;1418332094;-73.45;0.60;78.43
axle;60;1418332154;124.58;-0.33;-120.75
axle;60;1418332214;6.43;0.38;3.37
axle;60;1418332274;13391.50;0.63;-8768.20
axle;60;1418332334;-6.93;0.43;9.02
axle;60;1418332394;1.50;0.42;6.68
axle;60;1418332454;-9.72;0.42;8.32
axle;60;1418332514;-2.82;0.42;6.88
axle;60;1418332574;-5.33;0.47;6.43
axle;60;1418332634;-3.52;0.45;7.98
axle;60;1418332694;-11.53;0.45;8.33
axle;60;1418332754;-10.87;0.48;6.95
axle;60;1418332814;-5.75;0.42;6.68
axle;60;1418332874;-7.47;0.43;6.82
axle;60;1418332934;-4.00;0.43;7.03
